"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"120",1,3,1,2,4,2,31,3
"121",1,2,2,21,2,0,73,3
"122",1,3,2,29,0,0,8,3
"123",1,2,2,32,1,0,30,1
"124",2,2,1,32,0,0,13,3
"125",1,1,2,54,0,1,77,3
"126",2,3,2,12,1,0,11,1
"127",1,3,2,29,0,0,7,2
"128",2,3,2,24,0,0,7,3
"129",2,3,1,29,1,1,22,1
"130",1,3,2,45,0,0,6,3
"131",1,3,2,33,0,0,7,1
"132",1,3,2,20,0,0,7,3
"133",1,3,1,47,1,0,14,3
"134",2,2,1,29,1,0,26,3
"135",1,2,2,25,0,0,13,3
"136",1,2,2,23,0,0,15,1
"137",2,1,1,19,0,2,26,3
"138",1,1,2,37,1,0,53,3
"139",1,3,2,16,0,0,9,3
"140",1,1,2,24,0,0,79,1
"141",1,3,1,29,0,2,15,1
"142",2,3,1,22,0,0,7,3
"143",2,3,1,24,1,0,15,3
"144",1,3,2,19,0,0,6,2
"145",1,2,2,18,0,0,11,3
"146",1,2,2,19,1,1,36,3
"147",2,3,2,27,0,0,7,3
"148",1,3,1,9,2,2,34,3
"149",1,2,2,36,0,2,26,3
"150",1,2,2,42,0,0,13,3
"151",1,2,2,51,0,0,12,3
"152",2,1,1,22,1,0,66,3
"153",1,3,2,55,0,0,8,3
"154",1,3,2,40,0,2,14,3
"155",1,3,2,29,0,0,7,3
"156",1,1,2,51,0,1,61,1
"157",2,3,1,16,0,0,7,2
"158",1,3,2,30,0,0,8,3
"159",1,3,2,29,0,0,8,3
"160",1,3,2,29,8,2,69,3
"161",1,3,2,44,0,1,16,3
"162",2,2,1,40,0,0,15,3
"163",1,3,2,26,0,0,7,3
"164",1,3,2,17,0,0,8,3
"165",1,3,2,1,4,1,39,3
"166",2,3,2,9,0,2,20,3
"167",2,1,1,29,0,1,55,3
"168",1,3,1,45,1,4,27,3
"169",1,1,2,29,0,0,25,3
"170",1,3,2,28,0,0,56,3
"171",1,1,2,61,0,0,33,3
"172",1,3,2,4,4,1,29,2
"173",2,3,1,1,1,1,11,3
"174",1,3,2,21,0,0,7,3
"175",1,1,2,56,0,0,30,1
"176",1,3,2,18,1,1,7,3
"177",1,3,2,29,3,1,25,3
"178",1,1,1,50,0,0,28,1
"179",1,2,2,30,0,0,13,3
"180",1,3,2,36,0,0,0,3
"181",1,3,1,29,8,2,69,3
"182",1,2,2,29,0,0,15,1
"183",1,3,2,9,4,2,31,3
"184",2,2,2,1,2,1,39,3
"185",2,3,1,4,0,2,22,3
"186",1,1,2,29,0,0,50,3
"187",2,3,1,29,1,0,15,2
"188",2,1,2,45,0,0,26,3
"189",1,3,2,40,1,1,15,2
"190",1,3,2,36,0,0,7,3
"191",2,2,1,32,0,0,13,3
"192",1,2,2,19,0,0,13,3
"193",2,3,1,19,1,0,7,3
"194",2,2,2,3,1,1,26,3
"195",2,1,1,44,0,0,27,1
"196",2,1,1,58,0,0,146,1
"197",1,3,2,29,0,0,7,2
"198",1,3,2,42,0,1,8,3
"199",2,3,1,29,0,0,7,2
"200",1,2,1,24,0,0,13,3
"201",1,3,2,28,0,0,9,3
"202",1,3,2,29,8,2,69,3
"203",1,3,2,34,0,0,6,3
"204",1,3,2,45,0,0,7,1
"205",2,3,2,18,0,0,8,3
"206",1,3,1,2,0,1,10,3
"207",1,3,2,32,1,0,15,3
"208",2,3,2,26,0,0,18,1
"209",2,3,1,16,0,0,7,2
"210",2,1,2,40,0,0,31,1
"211",1,3,2,24,0,0,7,3
"212",2,2,1,35,0,0,21,3
"213",1,3,2,22,0,0,7,3
"214",1,2,2,30,0,0,13,3
"215",1,3,2,29,1,0,7,2
"216",2,1,1,31,1,0,113,1
"217",2,3,1,27,0,0,7,3
"218",1,2,2,42,1,0,27,3
"219",2,1,1,32,0,0,76,1
"220",1,2,2,30,0,0,10,3
"221",2,3,2,16,0,0,8,3
"222",1,2,2,27,0,0,13,3
"223",1,3,2,51,0,0,8,3
"224",1,3,2,29,0,0,7,3
"225",2,1,2,38,1,0,90,3
"226",1,3,2,22,0,0,9,3
"227",2,2,2,19,0,0,10,3
"228",1,3,2,20,0,0,7,3
"229",1,2,2,18,0,0,13,3
"230",1,3,1,29,3,1,25,3
"231",2,1,1,35,1,0,83,3
"232",1,3,2,29,0,0,7,3
"233",1,2,2,59,0,0,13,3
"234",2,3,1,5,4,2,31,3
"235",1,2,2,24,0,0,10,3
"236",1,3,1,29,0,0,7,3
"237",1,2,2,44,1,0,26,3
"238",2,2,1,8,0,2,26,3
"239",1,2,2,19,0,0,10,3
"240",1,2,2,33,0,0,12,3
"241",1,3,1,29,1,0,14,1
"242",2,3,1,29,1,0,15,2
"243",1,2,2,29,0,0,10,3
"244",1,3,2,22,0,0,7,3
"245",1,3,2,30,0,0,7,1
"246",1,1,2,44,2,0,90,2
"247",1,3,1,25,0,0,7,3
"248",2,2,1,24,0,2,14,3
"249",2,1,2,37,1,1,52,3
"250",1,2,2,54,1,0,26,3
"251",1,3,2,29,0,0,7,3
"252",1,3,1,29,1,1,10,3
"253",1,1,2,62,0,0,26,3
"254",1,3,2,30,1,0,16,3
"255",1,3,1,41,0,2,20,3
"256",2,3,1,29,0,2,15,1
"257",2,1,1,29,0,0,79,1
"258",2,1,1,30,0,0,86,3
"259",2,1,1,35,0,0,512,1
"260",2,2,1,50,0,1,26,3
"261",1,3,2,29,0,0,7,2
"262",2,3,2,3,4,2,31,3
"263",1,1,2,52,1,1,79,3
"264",1,1,2,40,0,0,0,3
"265",1,3,1,29,0,0,7,2
"266",1,2,2,36,0,0,10,3
"267",1,3,2,16,4,1,39,3
"268",2,3,2,25,1,0,7,3
"269",2,1,1,58,0,1,153,3
"270",2,1,1,35,0,0,135,3
"271",1,1,2,29,0,0,31,3
"272",2,3,2,25,0,0,0,3
"273",2,2,1,41,0,1,19,3
"274",1,1,2,37,0,1,29,1
"275",2,3,1,29,0,0,7,2
"276",2,1,1,63,1,0,77,3
"277",1,3,1,45,0,0,7,3
"278",1,2,2,29,0,0,0,3
"279",1,3,2,7,4,1,29,2
"280",2,3,1,35,1,1,20,3
"281",1,3,2,65,0,0,7,2
"282",1,3,2,28,0,0,7,3
"283",1,3,2,16,0,0,9,3
"284",2,3,2,19,0,0,8,3
"285",1,1,2,29,0,0,26,3
"286",1,3,2,33,0,0,8,1
"287",2,3,2,30,0,0,9,3
"288",1,3,2,22,0,0,7,3
"289",2,2,2,42,0,0,13,3
"290",2,3,1,22,0,0,7,2
"291",2,1,1,26,0,0,78,3
"292",2,1,1,19,1,0,91,1
"293",1,2,2,36,0,0,12,1
"294",1,3,1,24,0,0,8,3
"295",1,3,2,24,0,0,7,3
"296",1,1,2,29,0,0,27,1
"297",1,3,2,23,0,0,7,1
"298",1,1,1,2,1,2,151,3
"299",2,1,2,29,0,0,30,3
"300",2,1,1,50,0,1,247,1
"301",2,3,1,29,0,0,7,2
"302",2,3,2,29,2,0,23,2
"303",1,3,2,19,0,0,0,3
"304",2,2,1,29,0,0,12,2
"305",1,3,2,29,0,0,8,3
"306",2,1,2,0,1,2,151,3
"307",2,1,1,29,0,0,110,1
"308",2,1,1,17,1,0,108,1
"309",1,2,2,30,1,0,24,1
"310",2,1,1,30,0,0,56,1
"311",2,1,1,24,0,0,83,1
"312",2,1,1,18,2,2,262,1
"313",1,2,1,26,1,1,26,3
"314",1,3,2,28,0,0,7,3
"315",1,2,2,43,1,1,26,3
"316",2,3,1,26,0,0,7,3
"317",2,2,1,24,1,0,26,3
"318",1,2,2,54,0,0,14,3
"319",2,1,1,31,0,2,164,3
"320",2,1,1,40,1,1,134,1
"321",1,3,2,22,0,0,7,3
"322",1,3,2,27,0,0,7,3
"323",2,2,1,30,0,0,12,2
"324",2,2,1,22,1,1,29,3
"325",1,3,2,29,8,2,69,3
"326",2,1,1,36,0,0,135,1
"327",1,3,2,61,0,0,6,3
"328",2,2,1,36,0,0,13,3
"329",2,3,1,31,1,1,20,3
"330",2,1,1,16,0,1,57,1
"331",2,3,1,29,2,0,23,2
"332",1,1,2,45,0,0,28,3
"333",1,1,2,38,0,1,153,3
"334",1,3,2,16,2,0,18,3
"335",2,1,1,29,1,0,133,3
"336",1,3,2,29,0,0,7,3
"337",1,1,2,29,1,0,66,3
"338",2,1,1,41,0,0,134,1
"339",2,3,2,45,0,0,8,3
"340",1,1,2,45,0,0,35,3
"341",2,2,2,2,1,1,26,3
"342",2,1,1,24,3,2,263,3
"343",1,2,2,28,0,0,13,3
"344",1,2,2,25,0,0,13,3
"345",1,2,2,36,0,0,13,3
"346",2,2,1,24,0,0,13,3
"347",2,2,1,40,0,0,13,3
"348",2,3,1,29,1,0,16,3
"349",2,3,2,3,1,1,15,3
"350",1,3,2,42,0,0,8,3
"351",1,3,2,23,0,0,9,3
"352",1,1,2,29,0,0,35,3
"353",1,3,2,15,1,1,7,1
"354",1,3,2,25,1,0,17,3
"355",1,3,2,29,0,0,7,1
"356",1,3,2,28,0,0,9,3
"357",2,1,1,22,0,1,55,3
"358",1,2,1,38,0,0,13,3
"359",2,3,1,29,0,0,7,2
"360",2,3,1,29,0,0,7,2
"361",1,3,2,40,1,4,27,3
"362",1,2,2,29,1,0,27,1
"363",1,3,1,45,0,1,14,1
"364",1,3,2,35,0,0,7,3
"365",1,3,2,29,1,0,15,2
"366",1,3,2,30,0,0,7,3
"367",2,1,1,60,1,0,75,1
"368",2,3,1,29,0,0,7,1
"369",2,3,1,29,0,0,7,2
"370",2,1,1,24,0,0,69,1
"371",2,1,2,25,1,0,55,1
"372",1,3,2,18,1,0,6,3
"373",1,3,2,19,0,0,8,3
"374",1,1,2,22,0,0,135,1
"375",1,3,1,3,3,1,21,3
"376",2,1,1,29,1,0,82,1
"377",2,3,1,22,0,0,7,3
"378",1,1,2,27,0,2,211,1
"379",1,3,2,20,0,0,4,1
"380",1,3,2,19,0,0,7,3
"381",2,1,1,42,0,0,227,1
"382",2,3,1,1,0,2,15,1
"383",1,3,2,32,0,0,7,3
"384",2,1,1,35,1,0,52,3
"385",1,3,2,29,0,0,7,3
"386",1,2,2,18,0,0,73,3
"387",1,3,2,1,5,2,46,3
"388",2,2,1,36,0,0,13,3
"389",1,3,2,29,0,0,7,2
"390",2,2,1,17,0,0,12,1
"391",2,1,2,36,1,2,120,3
"392",2,3,2,21,0,0,7,3
"393",1,3,2,28,2,0,7,3
"394",2,1,1,23,1,0,113,1
"395",2,3,1,24,0,2,16,3
"396",1,3,2,22,0,0,7,3
"397",1,3,1,31,0,0,7,3
"398",1,2,2,46,0,0,26,3
"399",1,2,2,23,0,0,10,3
"400",2,2,1,28,0,0,12,3
"401",2,3,2,39,0,0,7,3
"402",1,3,2,26,0,0,8,3
"403",1,3,1,21,1,0,9,3
"404",1,3,2,28,1,0,15,3
"405",1,3,1,20,0,0,8,3
"406",1,2,2,34,1,0,21,3
"407",1,3,2,51,0,0,7,3
"408",2,2,2,3,1,1,18,3
"409",1,3,2,21,0,0,7,3
"410",1,3,1,29,3,1,25,3
"411",1,3,2,29,0,0,7,3
"412",1,3,2,29,0,0,6,2
"413",2,1,1,33,1,0,90,2
"414",1,2,2,29,0,0,0,3
"415",2,3,2,44,0,0,7,3
"416",1,3,1,29,0,0,8,3
"417",2,2,1,34,1,1,32,3
"418",2,2,1,18,0,2,13,3
"419",1,2,2,30,0,0,13,3
"420",1,3,1,10,0,2,24,3
"421",1,3,2,29,0,0,7,1
"422",1,3,2,21,0,0,7,2
"423",1,3,2,29,0,0,7,3
"424",1,3,1,28,1,1,14,3
"425",1,3,2,18,1,1,20,3
"426",1,3,2,29,0,0,7,3
"427",2,2,1,28,1,0,26,3
"428",2,2,1,19,0,0,26,3
"429",1,3,2,29,0,0,7,2
"430",2,3,2,32,0,0,8,3
"431",2,1,2,28,0,0,26,3
"432",2,3,1,29,1,0,16,3
"433",2,2,1,42,1,0,26,3
"434",1,3,2,17,0,0,7,3
"435",1,1,2,50,1,0,55,3
"436",2,1,1,14,1,2,120,3
"437",1,3,1,21,2,2,34,3
"438",2,2,1,24,2,3,18,3
"439",1,1,2,64,1,4,263,3
"440",1,2,2,31,0,0,10,3
"441",2,2,1,45,1,1,26,3
"442",1,3,2,20,0,0,9,3
"443",1,3,2,25,1,0,7,3
"444",2,2,1,28,0,0,13,3
"445",2,3,2,29,0,0,8,3
"446",2,1,2,4,0,2,81,3
"447",2,2,1,13,0,1,19,3
"448",2,1,2,34,0,0,26,3
"449",2,3,1,5,2,1,19,1
"450",2,1,2,52,0,0,30,3
"451",1,2,2,36,1,2,27,3
"452",1,3,2,29,1,0,19,3
"453",1,1,2,30,0,0,27,1
"454",2,1,2,49,1,0,89,1
"455",1,3,2,29,0,0,8,3
"456",2,3,2,29,0,0,7,1
"457",1,1,2,65,0,0,26,3
"458",2,1,1,29,1,0,51,3
"459",2,2,1,50,0,0,10,3
"460",1,3,2,29,0,0,7,2
"461",2,1,2,48,0,0,26,3
"462",1,3,2,34,0,0,8,3
"463",1,1,2,47,0,0,38,3
"464",1,2,2,48,0,0,13,3
"465",1,3,2,29,0,0,8,3
"466",1,3,2,38,0,0,7,3
"467",1,2,2,29,0,0,0,3
"468",1,1,2,56,0,0,26,3
"469",1,3,2,29,0,0,7,2
"470",2,3,1,0,2,1,19,1
"471",1,3,2,29,0,0,7,3
"472",1,3,2,38,0,0,8,3
"473",2,2,1,33,1,2,27,3
"474",2,2,1,23,0,0,13,1
"475",1,3,1,22,0,0,9,3
"476",1,1,2,29,0,0,52,3
"477",1,2,2,34,1,0,21,3
"478",1,3,2,29,1,0,7,3
"479",1,3,2,22,0,0,7,3
"480",2,3,1,2,0,1,12,3
"481",1,3,2,9,5,2,46,3
"482",1,2,2,29,0,0,0,3
"483",1,3,2,50,0,0,8,3
"484",2,3,1,63,0,0,9,3
"485",2,1,2,25,1,0,91,1
"486",1,3,1,29,3,1,25,3
"487",2,1,1,35,1,0,90,3
"488",1,1,2,58,0,0,29,1
"489",1,3,2,30,0,0,8,3
"490",2,3,2,9,1,1,15,3
"491",1,3,2,29,1,0,19,3
"492",1,3,2,21,0,0,7,3
"493",1,1,2,55,0,0,30,3
"494",1,1,2,71,0,0,49,1
"495",1,3,2,21,0,0,8,3
"496",1,3,2,29,0,0,14,1
"497",2,1,1,54,1,0,78,1
"498",1,3,2,29,0,0,15,3
"499",1,1,1,25,1,2,151,3
"500",1,3,2,24,0,0,7,3
"501",1,3,2,17,0,0,8,3
"502",1,3,1,21,0,0,7,2
"503",1,3,1,29,0,0,7,2
"504",1,3,1,37,0,0,9,3
"505",2,1,1,16,0,0,86,3
"506",1,1,2,18,1,0,108,1
"507",2,2,1,33,0,2,26,3
"508",2,1,2,29,0,0,26,3
"509",1,3,2,28,0,0,22,3
"510",2,3,2,26,0,0,56,3
"511",2,3,2,29,0,0,7,2
"512",1,3,2,29,0,0,8,3
"513",2,1,2,36,0,0,26,3
"514",2,1,1,54,1,0,59,1
"515",1,3,2,24,0,0,7,3
"516",1,1,2,47,0,0,34,3
"517",2,2,1,34,0,0,10,3
"518",1,3,2,29,0,0,24,2
"519",2,2,1,36,1,0,26,3
"520",1,3,2,32,0,0,7,3
"521",2,1,1,30,0,0,93,3
"522",1,3,2,22,0,0,7,3
"523",1,3,2,29,0,0,7,1
"524",2,1,1,44,0,1,57,1
"525",1,3,2,29,0,0,7,1
"526",1,3,2,40,0,0,7,2
"527",2,2,1,50,0,0,10,3
"528",1,1,2,29,0,0,221,3
"529",1,3,2,39,0,0,7,3
"530",1,2,2,23,2,1,11,3
"531",2,2,1,2,1,1,26,3
"532",1,3,2,29,0,0,7,1
"533",1,3,2,17,1,1,7,1
"534",2,3,1,29,0,2,22,1
"535",1,3,1,30,0,0,8,3
"536",2,2,1,7,0,2,26,3
"537",1,1,2,45,0,0,26,3
"538",2,1,1,30,0,0,106,1
"539",1,3,2,29,0,0,14,3
"540",2,1,1,22,0,2,49,1
"541",2,1,1,36,0,2,71,3
"542",1,3,1,9,4,2,31,3
"543",1,3,1,11,4,2,31,3
"544",2,2,2,32,1,0,26,3
"545",1,1,2,50,1,0,106,1
"546",1,1,2,64,0,0,26,3
"547",2,2,1,19,1,0,26,3
"548",2,2,2,29,0,0,13,1
"549",1,3,2,33,1,1,20,3
"550",2,2,2,8,1,1,36,3
"551",2,1,2,17,0,2,110,1
"552",1,2,2,27,0,0,26,3
"553",1,3,2,29,0,0,7,2
"554",2,3,2,22,0,0,7,1
"555",2,3,1,22,0,0,7,3
"556",1,1,2,62,0,0,26,3
"557",2,1,1,48,1,0,39,1
"558",1,1,2,29,0,0,227,1
"559",2,1,1,39,1,1,79,3
"560",2,3,1,36,1,0,17,3
"561",1,3,2,29,0,0,7,2
"562",1,3,2,40,0,0,7,3
"563",1,2,2,28,0,0,13,3
"564",1,3,2,29,0,0,8,3
"565",1,3,1,29,0,0,8,3
"566",1,3,2,24,2,0,24,3
"567",1,3,2,19,0,0,7,3
"568",1,3,1,29,0,4,21,3
"569",1,3,2,29,0,0,7,1
"570",2,3,2,32,0,0,7,3
"571",2,2,2,62,0,0,10,3
"572",2,1,1,53,2,0,51,3
"573",2,1,2,36,0,0,26,3
"574",2,3,1,29,0,0,7,2
"575",1,3,2,16,0,0,8,3
"576",1,3,2,19,0,0,14,3
"577",2,2,1,34,0,0,13,3
"578",2,1,1,39,1,0,55,3
"579",1,3,1,29,1,0,14,1
"580",2,3,2,32,0,0,7,3
"581",2,2,1,25,1,1,30,3
"582",2,1,1,39,1,1,110,1
"583",1,2,2,54,0,0,26,3
"584",1,1,2,36,0,0,40,1
"585",1,3,2,29,0,0,8,1
"586",2,1,1,18,0,2,79,3
"587",1,2,2,47,0,0,15,3
"588",2,1,2,60,1,1,79,1
"589",1,3,2,22,0,0,8,3
"590",1,3,2,29,0,0,8,3
"591",1,3,2,35,0,0,7,3
"592",2,1,1,52,1,0,78,1
"593",1,3,2,47,0,0,7,3
"594",1,3,1,29,0,2,7,2
"595",1,2,2,37,1,0,26,3
"596",1,3,2,36,1,1,24,3
"597",2,2,1,29,0,0,33,3
"598",1,3,2,49,0,0,0,3
"599",1,3,2,29,0,0,7,1
"600",2,1,2,49,1,0,56,1
"601",2,2,1,24,2,1,27,3
"602",1,3,2,29,0,0,7,3
"603",1,1,2,29,0,0,42,3
"604",1,3,2,44,0,0,8,3
"605",2,1,2,35,0,0,26,1
"606",1,3,2,36,1,0,15,3
"607",1,3,2,30,0,0,7,3
"608",2,1,2,27,0,0,30,3
"609",2,2,1,22,1,2,41,1
"610",2,1,1,40,0,0,153,3
"611",1,3,1,39,1,5,31,3
"612",1,3,2,29,0,0,7,3
"613",2,3,1,29,1,0,15,2
"614",1,3,2,29,0,0,7,2
"615",1,3,2,35,0,0,8,3
"616",2,2,1,24,1,2,65,3
"617",1,3,2,34,1,1,14,3
"618",1,3,1,26,1,0,16,3
"619",2,2,1,4,2,1,39,3
"620",1,2,2,26,0,0,10,3
"621",1,3,2,27,1,0,14,1
"622",2,1,2,42,1,0,52,3
"623",2,3,2,20,1,1,15,1
"624",1,3,2,21,0,0,7,3
"625",1,3,2,21,0,0,16,3
"626",1,1,2,61,0,0,32,3
"627",1,2,2,57,0,0,12,2
"628",2,1,1,21,0,0,77,3
"629",1,3,2,26,0,0,7,3
"630",1,3,2,29,0,0,7,2
"631",2,1,2,80,0,0,30,3
"632",1,3,2,51,0,0,7,3
"633",2,1,2,32,0,0,30,1
"634",1,1,2,29,0,0,0,3
"635",1,3,1,9,3,2,27,3
"636",2,2,1,28,0,0,13,3
"637",1,3,2,32,0,0,7,3
"638",1,2,2,31,1,1,26,3
"639",1,3,1,41,0,5,39,3
"640",1,3,2,29,1,0,16,3
"641",1,3,2,20,0,0,7,3
"642",2,1,1,24,0,0,69,1
"643",1,3,1,2,3,2,27,3
"644",2,3,2,29,0,0,56,3
"645",2,3,1,0,2,1,19,1
"646",2,1,2,48,1,0,76,1
"647",1,3,2,19,0,0,7,3
"648",2,1,2,56,0,0,35,1
"649",1,3,2,29,0,0,7,3
"650",2,3,1,23,0,0,7,3
"651",1,3,2,29,0,0,7,3
"652",2,2,1,18,0,1,23,3
"653",1,3,2,21,0,0,8,3
"654",2,3,1,29,0,0,7,2
"655",1,3,1,18,0,0,6,2
"656",1,2,2,24,2,0,73,3
"657",1,3,2,29,0,0,7,3
"658",1,3,1,32,1,1,15,2
"659",1,2,2,23,0,0,13,3
"660",1,1,2,58,0,2,113,1
"661",2,1,2,50,2,0,133,3
"662",1,3,2,40,0,0,7,1
"663",1,1,2,47,0,0,25,3
"664",1,3,2,36,0,0,7,3
"665",2,3,2,20,1,0,7,3
"666",1,2,2,32,2,0,73,3
"667",1,2,2,25,0,0,13,3
"668",1,3,2,29,0,0,7,3
"669",1,3,2,43,0,0,8,3
"670",2,1,1,29,1,0,52,3
"671",2,2,1,40,1,1,39,3
"672",1,1,2,31,1,0,52,3
"673",1,2,2,70,0,0,10,3
"674",2,2,2,31,0,0,13,3
"675",1,2,2,29,0,0,0,3
"676",1,3,2,18,0,0,7,3
"677",1,3,2,24,0,0,8,3
"678",2,3,1,18,0,0,9,3
"679",1,3,1,43,1,6,46,3
"680",2,1,2,36,0,1,512,1
"681",1,3,1,29,0,0,8,2
"682",2,1,2,27,0,0,76,1
"683",1,3,2,20,0,0,9,3
"684",1,3,2,14,5,2,46,3
"685",1,2,2,60,1,1,39,3
"686",1,2,2,25,1,2,41,1
"687",1,3,2,14,4,1,39,3
"688",1,3,2,19,0,0,10,3
"689",1,3,2,18,0,0,7,3
"690",2,1,1,15,0,1,211,3
"691",2,1,2,31,1,0,57,3
"692",2,3,1,4,0,1,13,1
"693",2,3,2,29,0,0,56,3
"694",1,3,2,25,0,0,7,1
"695",1,1,2,60,0,0,26,3
"696",1,2,2,52,0,0,13,3
"697",1,3,2,44,0,0,8,3
"698",2,3,1,29,0,0,7,2
"699",1,1,2,49,1,1,110,1
"700",1,3,2,42,0,0,7,3
"701",2,1,1,18,1,0,227,1
"702",2,1,2,35,0,0,26,3
"703",1,3,1,18,0,1,14,1
"704",1,3,2,25,0,0,7,2
"705",1,3,2,26,1,0,7,3
"706",1,2,2,39,0,0,26,3
"707",2,2,1,45,0,0,13,3
"708",2,1,2,42,0,0,26,3
"709",2,1,1,22,0,0,151,3
"710",2,3,2,29,1,1,15,1
"711",2,1,1,24,0,0,49,1
"712",1,1,2,29,0,0,26,3
"713",2,1,2,48,1,0,52,3
"714",1,3,2,29,0,0,9,3
"715",1,2,2,52,0,0,13,3
"716",1,3,2,19,0,0,7,3
"717",2,1,1,38,0,0,227,1
"718",2,2,1,27,0,0,10,3
"719",1,3,2,29,0,0,15,2
"720",1,3,2,33,0,0,7,3
"721",2,2,1,6,0,1,33,3
"722",1,3,2,17,1,0,7,3
"723",1,2,2,34,0,0,13,3
"724",1,2,2,50,0,0,13,3
"725",2,1,2,27,1,0,53,3
"726",1,3,2,20,0,0,8,3
"727",2,2,1,30,3,0,21,3
"728",2,3,1,29,0,0,7,2
"729",1,2,2,25,1,0,26,3
"730",1,3,1,25,1,0,7,3
"731",2,1,1,29,0,0,211,3
"732",1,3,2,11,0,0,18,1
